election_year,election_regio_code,municipality_code,cbs_gm_code,election_municipality,cbs_municipality,province_code,province_code_pv,province,raw_name_match,normalized_name_match
2023,G0437,0437,GM0437,Ouder-Amstel,Ouder-Amstel,27,PV27,Noord-Holland,true,true
2023,G0439,0439,GM0439,Purmerend,Purmerend,27,PV27,Noord-Holland,true,true
2023,G0441,0441,GM0441,Schagen,Schagen,27,PV27,Noord-Holland,true,true
2023,G0448,0448,GM0448,Texel,Texel,27,PV27,Noord-Holland,true,true
2023,G0450,0450,GM0450,Uitgeest,Uitgeest,27,PV27,Noord-Holland,true,true
2023,G0451,0451,GM0451,Uithoorn,Uithoorn,27,PV27,Noord-Holland,true,true
2023,G0453,0453,GM0453,Velsen,Velsen,27,PV27,Noord-Holland,true,true
2023,G0473,0473,GM0473,Zandvoort,Zandvoort,27,PV27,Noord-Holland,true,true
2023,G0479,0479,GM0479,Zaanstad,Zaanstad,27,PV27,Noord-Holland,true,true
2023,G0482,0482,GM0482,Alblasserdam,Alblasserdam,28,PV28,Zuid-Holland,true,true
2023,G0484,0484,GM0484,Alphen aan den Rijn,Alphen aan den Rijn,28,PV28,Zuid-Holland,true,true
2023,G0489,0489,GM0489,Barendrecht,Barendrecht,28,PV28,Zuid-Holland,true,true
2023,G0498,0498,GM0498,Drechterland,Drechterland,27,PV27,Noord-Holland,true,true
2023,G0502,0502,GM0502,Capelle aan den IJssel,Capelle aan den IJssel,28,PV28,Zuid-Holland,true,true
2023,G0503,0503,GM0503,Delft,Delft,28,PV28,Zuid-Holland,true,true
2023,G0505,0505,GM0505,Dordrecht,Dordrecht,28,PV28,Zuid-Holland,true,true
2023,G0512,0512,GM0512,Gorinchem,Gorinchem,28,PV28,Zuid-Holland,true,true
2023,G0513,0513,GM0513,Gouda,Gouda,28,PV28,Zuid-Holland,true,true
2023,G0518,0518,GM0518,'s-Gravenhage,'s-Gravenhage,28,PV28,Zuid-Holland,true,true
2023,G0523,0523,GM0523,Hardinxveld-Giessendam,Hardinxveld-Giessendam,28,PV28,Zuid-Holland,true,true
2023,G0531,0531,GM0531,Hendrik-Ido-Ambacht,Hendrik-Ido-Ambacht,28,PV28,Zuid-Holland,true,true
2023,G0532,0532,GM0532,Stede Broec,Stede Broec,27,PV27,Noord-Holland,true,true
